epoch,accuracy,f1_score,recall,precision
1,0.622959,0.759499,0.696634,0.834836
2,0.641327,0.779632,0.730693,0.835598
3,0.651531,0.785834,0.742574,0.834446
4,0.661224,0.794377,0.749703,0.844712
5,0.657143,0.795726,0.752079,0.844751
6,0.660204,0.796296,0.749307,0.849573
7,0.668367,0.792912,0.735446,0.86012
8,0.664286,0.797086,0.758416,0.839912
9,0.677041,0.80377,0.76,0.852889
10,0.676531,0.80202,0.754851,0.855476
11,0.681122,0.806316,0.758416,0.860674
12,0.686735,0.806899,0.759604,0.860476
13,0.686735,0.810142,0.765545,0.860258
14,0.687245,0.809394,0.764356,0.860071
15,0.691327,0.812933,0.766733,0.865058
16,0.685204,0.811612,0.769505,0.858595
17,0.686224,0.810924,0.764356,0.863535
18,0.685204,0.809055,0.764356,0.859305
19,0.690306,0.813623,0.771089,0.861123
20,0.691837,0.811844,0.765545,0.864104
21,0.690816,0.810913,0.765149,0.8625
22,0.696429,0.816677,0.771881,0.866993
23,0.694898,0.811029,0.757228,0.873059
24,0.698469,0.816719,0.773861,0.864602
25,0.695408,0.815436,0.769901,0.866696
26,0.695408,0.815093,0.774257,0.860475
27,0.696939,0.818276,0.780198,0.860262
28,0.694388,0.815696,0.773861,0.862312
29,0.7,0.817326,0.773465,0.86646
30,0.695918,0.818542,0.776238,0.865724
31,0.692347,0.81309,0.767525,0.864407
32,0.693367,0.816837,0.776238,0.861917
33,0.695918,0.816293,0.777822,0.858767
34,0.688776,0.81233,0.767129,0.863191
35,0.69898,0.818544,0.772673,0.870205
36,0.685714,0.815828,0.779802,0.855343
37,0.686735,0.815458,0.781386,0.852636
38,0.69898,0.819292,0.770297,0.874944
39,0.698469,0.817555,0.774653,0.865487
40,0.696939,0.818125,0.772277,0.869759
41,0.69898,0.820545,0.781386,0.863835
42,0.696939,0.816301,0.773465,0.864159
43,0.696939,0.816618,0.770693,0.868362
44,0.689286,0.813311,0.769505,0.862406
45,0.695918,0.820236,0.783366,0.860748
46,0.692857,0.815124,0.772673,0.862511
47,0.693878,0.815204,0.768713,0.86768
48,0.696939,0.820865,0.782178,0.863577
49,0.703571,0.82033,0.776634,0.869238
50,0.694898,0.813738,0.764752,0.869428
