epoch,accuracy,f1_score,recall,precision
1,0.993878,0.997624,0.997624,0.997624
2,0.995918,0.998417,0.999208,0.997628
3,0.996939,0.998813,0.999604,0.998023
4,0.997959,0.999209,1.0,0.998418
5,0.996429,0.998416,0.998812,0.998021
6,0.997449,0.99901,0.998812,0.999208
7,0.996429,0.998613,0.99802,0.999207
8,0.997959,0.999208,0.998812,0.999604
9,0.993367,0.997425,0.997228,0.997623
10,0.99898,0.999604,0.999208,1.0
11,1.0,1.0,1.0,1.0
12,0.998469,0.999406,0.999208,0.999604
13,0.99898,0.999604,1.0,0.999209
14,0.99949,0.999802,1.0,0.999604
15,1.0,1.0,1.0,1.0
16,0.997449,0.999009,0.998416,0.999603
17,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0
19,0.99949,0.999802,1.0,0.999604
20,1.0,1.0,1.0,1.0
21,0.99949,0.999802,1.0,0.999604
22,0.99949,0.999802,1.0,0.999604
23,0.99898,0.999604,1.0,0.999209
24,0.99949,0.999802,1.0,0.999604
25,0.99949,0.999802,0.999604,1.0
26,0.99949,0.999802,1.0,0.999604
27,0.99949,0.999802,0.999604,1.0
28,0.99949,0.999802,0.999604,1.0
29,1.0,1.0,1.0,1.0
30,0.99949,0.999802,1.0,0.999604
31,0.99949,0.999802,0.999604,1.0
32,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0
43,1.0,1.0,1.0,1.0
44,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0
46,0.99949,0.999802,1.0,0.999604
47,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0
49,0.99949,0.999802,0.999604,1.0
50,1.0,1.0,1.0,1.0
