epoch,accuracy,f1_score,recall,precision
1,0.333673,0.40992,0.284752,0.731434
2,0.414286,0.548534,0.429703,0.758211
3,0.506633,0.666346,0.548119,0.849601
4,0.577551,0.719286,0.622574,0.851571
5,0.612755,0.757252,0.687525,0.842718
6,0.630102,0.766754,0.697822,0.850797
7,0.65,0.772717,0.708911,0.849146
8,0.653571,0.780196,0.72396,0.845905
9,0.656633,0.786431,0.729901,0.852451
10,0.666327,0.788355,0.734653,0.850527
11,0.652551,0.789496,0.738218,0.84843
12,0.661735,0.797383,0.748119,0.853592
13,0.661735,0.794796,0.750099,0.845158
14,0.662755,0.800832,0.762772,0.842888
15,0.67551,0.803451,0.75604,0.857207
16,0.677551,0.80674,0.767921,0.849693
17,0.685714,0.806854,0.755248,0.866031
18,0.681633,0.807301,0.770693,0.847561
19,0.677551,0.801847,0.756436,0.853059
20,0.67551,0.801343,0.756436,0.851918
21,0.67602,0.810767,0.787327,0.835645
22,0.694388,0.811637,0.756832,0.875
23,0.686735,0.81037,0.767525,0.858282
24,0.688776,0.808179,0.759208,0.863903
25,0.684184,0.812795,0.78495,0.842687
26,0.696939,0.817177,0.776238,0.862676
27,0.693367,0.814674,0.765149,0.871055
28,0.693878,0.812421,0.766733,0.8639
29,0.685204,0.813182,0.781782,0.84721
30,0.697449,0.816335,0.771881,0.866222
31,0.694898,0.817482,0.777822,0.861404
32,0.680612,0.811436,0.792475,0.831325
33,0.683673,0.813015,0.781782,0.846847
34,0.690816,0.816849,0.783366,0.853322
35,0.697449,0.821048,0.794059,0.849936
36,0.7,0.821192,0.785743,0.859991
37,0.701531,0.81761,0.772277,0.868597
38,0.684694,0.813295,0.78495,0.843763
39,0.682143,0.810646,0.790099,0.83229
40,0.697449,0.817804,0.778614,0.861148
41,0.695918,0.817841,0.77703,0.863176
42,0.697959,0.816378,0.773861,0.863837
43,0.688776,0.819306,0.8,0.839568
44,0.693367,0.817844,0.784158,0.854553
45,0.701531,0.819044,0.769901,0.874887
46,0.696429,0.81497,0.771881,0.863153
47,0.708673,0.823749,0.785743,0.86562
48,0.705612,0.821272,0.779802,0.867401
49,0.707143,0.825574,0.790099,0.864385
50,0.698469,0.817294,0.778614,0.860017
